,_id,price,bedroom,bathroom,area,district,city,releaseDate,id
718,{'$oid': '65edbcc87bd0c6316a3678a1'},850000000,2,3,250,TOMOHON TENGAH,KOTA TOMOHON,2024/03/06,917515830
719,{'$oid': '65edbcc87bd0c6316a3678a2'},888000000,3,2,63,KALIDERES,JAKARTA BARAT,2024/02/12,828652958
720,{'$oid': '65edbcc87bd0c6316a3678a3'},1585000000,3,3,112,PAMULANG,KOTA TANGERANG SELATAN,2024/02/11,876728974
721,{'$oid': '65edbcc87bd0c6316a3678a4'},500000000,2,1,45,BEJI,KOTA DEPOK,2024/02/23,916927376
722,{'$oid': '65edbcc87bd0c6316a3678a5'},650000000,2,2,51,UJUNG BERUNG,KOTA BANDUNG,2024/03/10,906610573
723,{'$oid': '65edbcc87bd0c6316a3678a6'},1750000000,4,4,180,PONDOK AREN,KOTA TANGERANG SELATAN,2024/03/10,917700279
724,{'$oid': '65edbcc87bd0c6316a3678a7'},900000001,3,1,51,CIKUPA,KAB. TANGERANG,2024/03/10,917700272
725,{'$oid': '65edbcc87bd0c6316a3678a8'},985000000,3,2,84,BUAHBATU (MARGACINTA),KOTA BANDUNG,2024/03/10,909908790
726,{'$oid': '65edbcc87bd0c6316a3678a9'},{'$numberLong': '35000000000'},7,4,456,CINERE,KOTA DEPOK,2024/03/10,917700265
727,{'$oid': '65edbcc87bd0c6316a3678aa'},166000000,2,1,30,WELERI,KAB. KENDAL,2024/03/10,917700264
728,{'$oid': '65edbcc87bd0c6316a3678ab'},560000000,2,1,45,BUDURAN,KAB. SIDOARJO,2024/03/10,911183723
729,{'$oid': '65edbcc87bd0c6316a3678ac'},565000000,2,1,52,CIBIRU,KOTA BANDUNG,2024/03/10,909321440
730,{'$oid': '65edbcc87bd0c6316a3678ad'},620000000,2,1,50,NGAGLIK,KAB. SLEMAN,2024/03/10,917700231
731,{'$oid': '65edbcc87bd0c6316a3678ae'},500000000,1,1,150,CIBEUREUM,KOTA TASIKMALAYA,2024/03/10,917700223
732,{'$oid': '65edbcc87bd0c6316a3678af'},2000000000,4,4,160,BOGOR TENGAH - KOTA,KOTA BOGOR,2024/03/10,917700219
733,{'$oid': '65edbcc87bd0c6316a3678b0'},{'$numberLong': '2800000000'},4,2,400,BLORA KOTA,KAB. BLORA,2024/03/07,917532947
734,{'$oid': '65edbcc87bd0c6316a3678b1'},{'$numberLong': '2200000000'},7,4,300,PANAKKUKANG,KOTA MAKASSAR,2024/02/11,912867571
735,{'$oid': '65edbcc87bd0c6316a3678b2'},{'$numberLong': '2300000000'},3,3,169,SLEMAN KAB.,YOGYAKARTA D.I.,2024/02/11,914036857
736,{'$oid': '65edbcc87bd0c6316a3678b3'},450000000,2,1,90,CIKARANG TIMUR,KAB. BEKASI,2024/03/06,917473926
737,{'$oid': '65edbcc87bd0c6316a3678b4'},1400000000,4,3,110,ARCAMANIK,KOTA BANDUNG,2024/03/10,907946913
738,{'$oid': '65edbcc87bd0c6316a3678b5'},985000000,3,2,110,GEDEBAGE,KOTA BANDUNG,2024/03/10,907965413
739,{'$oid': '65edbcc87bd0c6316a3678b6'},400000000,2,1,36,JATIWARNA,KOTA BEKASI,2024/03/10,917700185
740,{'$oid': '65edbcc87bd0c6316a3678b7'},{'$numberLong': '2650000000'},5,4,155,BOJONGLOA KALER,KOTA BANDUNG,2024/03/10,917700181
741,{'$oid': '65edbcc87bd0c6316a3678b8'},439000000,2,2,30,PARONGPONG,KAB. BANDUNG BARAT,2024/03/10,910945594
742,{'$oid': '65edbcc87bd0c6316a3678b9'},2900000,6,6,350,CIPUTAT,KOTA TANGERANG SELATAN,2024/03/10,917700148
743,{'$oid': '65edbcc87bd0c6316a3678ba'},565000000,2,1,50,CILEUNYI,KAB. BANDUNG,2024/03/10,908278097
744,{'$oid': '65edbcc87bd0c6316a3678bb'},200000000,2,1,72,GEMPOL,KAB. PASURUAN,2024/03/10,917700139
745,{'$oid': '65edbcc87bd0c6316a3678bc'},1367000000,3,2,101,KIARACONDONG,KOTA BANDUNG,2024/03/10,911593557
746,{'$oid': '65edbcc87bd0c6316a3678bd'},450000000,3,1,61,MARGAASIH,KAB. BANDUNG,2024/03/10,911316654
747,{'$oid': '65edbcc87bd0c6316a3678be'},240000000,2,1,30,JAGAKARSA,JAKARTA SELATAN,2024/03/10,917700107
748,{'$oid': '65edbcc87bd0c6316a3678bf'},{'$numberLong': '3300000000'},3,3,280,DENPASAR BARAT,KOTA DENPASAR,2024/02/21,914621797
749,{'$oid': '65edbcc87bd0c6316a3678c0'},650000000,3,3,200,SUBANG,KAB. SUBANG,2024/02/28,917141885
750,{'$oid': '65edbcc87bd0c6316a3678c1'},2300000,3,2,60,KATAPANG,KAB. BANDUNG,2024/02/05,916112365
751,{'$oid': '65edbcc87bd0c6316a3678c2'},1200000000,3,2,200,TAMBUN UTARA,KAB. BEKASI,2024/03/10,917662066
752,{'$oid': '65edbcc87bd0c6316a3678c3'},1500000000,3,2,138,BEKASI SELATAN,KOTA BEKASI,2024/03/10,917700103
753,{'$oid': '65edbcc87bd0c6316a3678c4'},{'$numberLong': '7500000000'},8,5,950,KELAPA GADING,JAKARTA UTARA,2024/03/10,917700095
754,{'$oid': '65edbcc87bd0c6316a3678c5'},{'$numberLong': '2350000000'},2,2,86,PONDOK AREN,KOTA TANGERANG SELATAN,2024/03/10,917700085
755,{'$oid': '65edbcc87bd0c6316a3678c6'},802000000,2,2,51,ARCAMANIK,KOTA BANDUNG,2024/03/10,910679728
756,{'$oid': '65edbcc87bd0c6316a3678c7'},1675000000,4,4,150,JAGAKARSA,JAKARTA SELATAN,2024/03/10,915870741
757,{'$oid': '65edbcc87bd0c6316a3678c8'},755000000,3,2,189,BANJARMASIN TENGAH,KOTA BANJARMASIN,2024/03/10,917700066
758,{'$oid': '65edbcc87bd0c6316a3678c9'},240000000,2,1,30,TANJUNG BARAT,JAKARTA SELATAN,2024/03/10,917700061
759,{'$oid': '65edbcc87bd0c6316a3678ca'},501000000,2,1,50,KIARACONDONG,KOTA BANDUNG,2024/03/10,911608380
760,{'$oid': '65edbcc87bd0c6316a3678cb'},800000000,2,2,64,CENGKARENG,JAKARTA BARAT,2024/03/10,917700048
761,{'$oid': '65edbcc87bd0c6316a3678cc'},660900000,2,2,52,ARCAMANIK,KOTA BANDUNG,2024/03/10,910671356
762,{'$oid': '65edbcc87bd0c6316a3678cd'},190000000,2,1,0,CITAYAM,KOTA DEPOK,2024/03/10,917700040
763,{'$oid': '65edbcc87bd0c6316a3678ce'},{'$numberLong': '2250000000'},4,3,178,CIPUTAT,KOTA TANGERANG SELATAN,2024/01/24,904600810
764,{'$oid': '65edbcc87bd0c6316a3678cf'},1200000000,3,2,125,GRESIK,KAB. GRESIK,2024/01/08,914705991
765,{'$oid': '65edbcc87bd0c6316a3678d0'},397000000,2,2,62,NGAGLIK,KAB. SLEMAN,2024/02/29,910540407
766,{'$oid': '65edbcc87bd0c6316a3678d1'},1899999999,4,4,138,TEMBALANG,KOTA SEMARANG,2024/02/02,900856976
767,{'$oid': '65edbcc87bd0c6316a3678d2'},750000000,4,1,110,WONOCOLO,KOTA SURABAYA,2024/03/10,917700039
768,{'$oid': '65edbcc87bd0c6316a3678d3'},240000000,2,1,30,SETIA BUDI,JAKARTA SELATAN,2024/03/10,917700022
769,{'$oid': '65edbcc87bd0c6316a3678d4'},599000000,3,2,56,MANDALAJATI,KOTA BANDUNG,2024/03/10,911608619
770,{'$oid': '65edbcc87bd0c6316a3678d5'},479000000,2,2,45,CIMEUNYAN,KAB. BANDUNG,2024/03/10,913048282
771,{'$oid': '65edbcc87bd0c6316a3678d6'},580000000,2,1,45,NGAGLIK,KAB. SLEMAN,2024/03/10,917699980
772,{'$oid': '65edbcc87bd0c6316a3678d7'},240000000,2,1,30,PASAR MINGGU,JAKARTA SELATAN,2024/03/10,917699977
773,{'$oid': '65edbcc87bd0c6316a3678d8'},482000000,2,2,45,MANDALAJATI,KOTA BANDUNG,2024/03/10,912440317
774,{'$oid': '65edbcc87bd0c6316a3678d9'},440000000,2,2,50,CILEUNYI,KAB. BANDUNG,2024/03/10,912405991
775,{'$oid': '65edbcc87bd0c6316a3678da'},500000000,2,2,63,CIBITUNG,KAB. BEKASI,2024/03/10,917699959
776,{'$oid': '65edbcc87bd0c6316a3678db'},{'$numberLong': '2800000000'},5,3,195,CENGKARENG,JAKARTA BARAT,2024/03/10,917699946
777,{'$oid': '65edbcc87bd0c6316a3678dc'},{'$numberLong': '4500000000'},5,2,290,PURWOKERTO TIMUR,KAB. BANYUMAS,2024/03/10,917699942
778,{'$oid': '65edbcc87bd0c6316a3678dd'},1350000000,10,10,500,CIKARANG UTARA,KAB. BEKASI,2024/11/06,911515314
779,{'$oid': '65edbcc87bd0c6316a3678de'},{'$numberLong': '2300000000'},3,3,194,CIPUTAT,KOTA TANGERANG SELATAN,2024/03/03,912729930
780,{'$oid': '65edbcc87bd0c6316a3678df'},550000000,3,2,75,BOJONGSARI,KOTA DEPOK,2024/01/01,912101497
781,{'$oid': '65edbcc87bd0c6316a3678e0'},850000000,3,3,100,TANJUNG MORAWA,KAB. DELI SERDANG,2024/02/12,908911428
782,{'$oid': '65edbcc87bd0c6316a3678e1'},532000000,2,2,45,BOJONGSOANG,KAB. BANDUNG,2024/03/10,911780550
783,{'$oid': '65edbcc87bd0c6316a3678e2'},450000000,2,1,70,LEGOK,KAB. TANGERANG,2024/03/10,917545751
784,{'$oid': '65edbcc87bd0c6316a3678e3'},{'$numberLong': '7500000000'},5,4,450,MENTENG,JAKARTA PUSAT,2024/03/10,917699937
785,{'$oid': '65edbcc87bd0c6316a3678e4'},240000000,2,1,30,PANCORAN,JAKARTA SELATAN,2024/03/10,917699933
